Rec,Inf,Name,xG,Tck,DrbPG,Mins,Av Rat,Gls,Pens S,Pens,Cr C/A,Hdr %,Pas %,Shot %,Ps C,ShT,Cr C,Cr A,K Ps/90,K Tck,K Hdrs,ShT/90,Asts/90,Ps C/90,Ps A/90,Tck A,Hdrs W/90,Shot/90,Tck W,Distance,Int/90,Tck R,Off,Aer A/90,Shots,CCC,Ch C/90,Gl Mst,Fls,Division,Age
- - -,,Tomas Radzinevicius,0.00,0.78,-,"3,690",6.40,14,1,1,0%,-,57%,47%,470,64,0,0,-,0,0,1.56,0.12,11.46,20.00,-,-,3.32,32,0.0km,-,74%,0,-,136,0,-,0,56,Czech Lower Division,39
- - -,,Igor Lebedenko,6.90,1.50,0.34,"2,102",7.11,3,0,0,34%,39%,77%,46%,684,21,25,73,1.33,3,1,0.90,0.21,29.29,37.85,-,1.11,1.97,35,157.2km,3.13,67%,47,2.87,46,9,0.41,0,10,Russian First Division,37
- - -,,Eldar Nizamutdinov,10.59,0.71,0.77,"3,151",7.38,14,1,1,35%,30%,76%,49%,883,35,29,82,2.06,3,7,1.00,0.17,25.22,33.28,-,0.54,2.03,25,255.9km,2.54,54%,54,1.80,71,7,0.21,0,35,Russian First Division,39
- - -,,Sergey Samodin,4.59,2.22,-,850,6.68,5,0,0,8%,64%,71%,37%,227,11,1,12,0.21,0,0,1.16,-,24.04,33.78,-,2.44,3.18,21,65.0km,1.16,45%,8,3.81,30,3,0.32,0,9,Russian First Division,36
- - -,,Hasan Mamtov,12.38,1.22,0.33,"3,320",7.55,15,2,2,35%,36%,72%,45%,"1,023",43,42,117,1.68,2,3,1.17,0.35,27.73,38.74,-,0.87,2.60,45,250.6km,2.58,73%,84,2.44,96,28,1.40,0,22,Russian Second Division - Group 1,37
- - -,,Predrag Sikimić,4.08,2.01,-,717,6.86,6,0,0,12%,69%,64%,43%,144,16,2,16,0.88,0,1,2.01,-,18.08,28.12,-,3.01,4.64,16,52.3km,1.88,50%,18,4.39,37,1,0.13,0,14,Serbian First League,38
- - -,Ama,Mario Mijatović,0.00,0.77,-,"3,759",5.83,5,0,0,0%,-,56%,45%,484,50,0,0,-,0,0,1.20,0.02,11.59,20.59,-,-,2.63,32,0.0km,-,59%,0,-,110,0,-,0,61,Croatian Fourth League East - North East,40
- - -,Ama,Goran Burčul,0.00,0.44,-,"3,698",6.31,5,0,0,0%,-,56%,41%,471,38,0,0,-,0,0,0.92,0.07,11.46,20.44,-,-,2.24,18,0.0km,-,69%,0,-,92,0,-,0,43,Croatian Regional League - Zadar (13),44
- - -,Ama,Dino Kresinger,0.00,0.81,-,"3,780",6.12,1,0,0,0%,-,55%,36%,461,36,0,0,-,0,0,0.86,0.07,10.98,20.00,-,-,2.40,34,0.0km,-,69%,0,-,101,0,-,0,62,Croatian Regional League - Varazdin (5),39
- - -,Ama,Ahmad Sharbini,0.00,0.60,-,"3,780",5.57,7,2,2,0%,-,57%,32%,476,30,0,0,-,0,0,0.71,0.02,11.33,20.00,-,-,2.24,25,0.0km,-,58%,0,-,94,0,-,0,72,Croatian Fourth League West,37
- - -,Ama,Ivica Grbeša,0.00,0.65,-,"3,870",6.09,5,0,0,0%,-,54%,34%,466,30,0,0,-,0,0,0.70,0.12,10.84,20.00,-,-,2.05,28,0.0km,-,70%,0,-,88,0,-,0,59,Croatian Regional League - Dubrovnik (19),39
- - -,,Antonio Hrnčević,2.95,1.78,0.39,"1,161",6.52,3,1,1,26%,41%,69%,47%,266,17,6,23,1.09,0,1,1.32,-,20.62,30.00,-,1.09,2.79,23,77.5km,1.32,49%,17,2.64,36,2,0.16,0,29,Croatian Third League Central,36
- - -,,Dragan Župan,7.33,0.90,-,"3,212",7.02,6,0,1,34%,32%,78%,54%,"1,087",20,48,141,2.41,5,9,0.56,0.20,30.46,39.20,-,1.04,1.04,32,192.5km,1.29,65%,45,3.19,37,12,0.40,0,67,Croatian Third League South,38
- - -,,Leon Benko,2.74,1.88,-,526,6.65,2,0,0,20%,75%,71%,52%,140,12,2,10,0.17,0,0,2.05,-,23.95,33.71,-,2.57,3.94,11,42.2km,1.71,55%,16,3.42,23,0,-,0,14,Croatian First League,37
- - -,,Emanuel Benković,5.13,0.52,0.64,"2,245",7.15,13,0,0,37%,53%,70%,61%,520,31,23,61,1.44,1,4,1.24,0.16,20.85,29.63,-,2.37,2.04,13,140.5km,2.04,62%,39,4.45,51,5,0.20,0,46,Croatian Third League Central,37
- - -,,Ivan Rodić,4.51,0.71,0.71,"2,022",6.98,6,0,0,30%,59%,69%,41%,539,17,18,59,1.42,2,7,0.76,0.09,23.99,34.72,-,2.72,1.82,16,182.3km,1.16,64%,41,4.58,41,2,0.09,0,35,Croatian Third League South,35
- - -,Ama,Bojan Vručina,0.00,0.86,-,"3,870",6.52,15,0,0,0%,-,58%,48%,497,61,0,0,-,0,0,1.42,0.05,11.56,20.00,-,-,2.98,37,0.0km,-,55%,0,-,128,0,-,0,82,Croatian Regional League - Varazdin (5),36
- - -,Inj,Antonio Bušelić,0.00,1.57,-,"3,330",6.13,4,0,0,0%,-,57%,29%,422,24,0,0,-,0,0,0.65,0.11,11.41,20.00,-,-,2.24,58,0.0km,-,97%,0,-,83,0,-,0,63,Croatian Regional League - Split (17),35
- - -,,Vedran Pečanić,0.00,0.65,-,"3,441",5.83,9,0,0,0%,-,54%,40%,419,38,0,0,-,0,0,0.99,-,10.96,20.40,-,-,2.48,25,0.0km,-,49%,0,-,95,0,-,0,35,Croatian Third League West,38
- - -,Wnt,Tomislav Busic,0.00,1.20,-,"3,606",7.17,16,0,0,0%,-,58%,52%,477,57,0,0,-,0,0,1.42,0.07,11.91,20.47,-,-,2.75,48,0.0km,-,79%,0,-,110,0,-,0,50,Kosovan Superleague,35
- - -,Wnt,Josip Tadic,0.00,1.11,-,810,6.77,2,0,0,0%,-,55%,43%,99,10,0,0,-,0,0,1.11,-,11.00,20.00,-,-,2.56,10,0.0km,-,91%,0,-,23,0,-,0,9,Lithuanian A League,33
- - -,Ama,Enes Novinić,1.68,2.50,-,612,6.70,2,1,1,12%,53%,63%,36%,116,9,2,16,0.29,0,0,1.32,0.15,17.06,26.91,-,1.32,3.68,17,36.5km,1.18,52%,12,2.50,25,1,0.15,0,12,Croatian Third League Central,35
- - -,,Hrvoje Mišić,10.24,0.59,-,"3,359",7.42,16,0,0,35%,45%,71%,48%,837,46,31,87,1.74,5,11,1.23,0.11,22.43,31.67,-,2.28,2.57,22,243.4km,1.29,52%,27,5.06,96,5,0.18,0,23,Croatian Third League East,33
- - -,,Josip Barišić,6.69,1.64,0.05,"1,971",6.81,8,1,1,11%,61%,68%,52%,539,24,3,26,1.10,1,0,1.10,0.09,24.61,36.39,-,2.65,2.10,36,145.4km,0.87,58%,42,4.34,46,2,0.11,0,13,Croatian Third League East,34
- - -,Ama,Mario Jurin,0.00,0.66,-,"3,692",6.62,10,0,0,0%,-,55%,43%,463,43,0,0,-,0,0,1.05,0.10,11.29,20.48,-,-,2.46,27,0.0km,-,69%,0,-,101,0,-,0,53,Croatian Regional League - Zagreb (1),34
- - -,,Željko Sablić,2.56,1.85,0.08,"1,169",6.70,3,1,1,30%,24%,69%,35%,344,8,14,46,1.31,0,0,0.62,-,26.48,38.11,-,0.85,1.77,24,67.6km,1.77,65%,31,3.46,23,5,0.41,0,27,Croatian Third League South,37
- - -,Lst,Ante Ćapin,1.79,2.82,-,542,6.63,3,0,0,5%,21%,66%,58%,126,7,1,17,0.66,0,0,1.16,0.17,20.92,31.55,-,0.66,1.99,17,32.7km,1.16,53%,12,3.15,12,0,-,0,12,Croatian Second League,35
- - -,,Marin Vučemilović-Grgić,2.10,2.09,-,"1,595",6.74,4,0,0,30%,36%,74%,46%,478,13,16,52,1.02,0,2,0.73,0.17,26.97,36.56,-,0.90,1.58,37,103.5km,1.97,67%,20,2.54,28,4,0.23,0,25,Croatian Third League South,34
- - -,,Vedran Gerc,3.17,1.50,0.13,"1,382",6.71,6,0,0,15%,49%,65%,31%,274,8,2,13,0.59,0,2,0.52,0.07,17.84,27.55,-,1.56,1.69,23,106.5km,0.65,50%,30,3.19,26,0,-,0,25,Croatian Second League,35
- - -,,Maciej Kowalczyk,2.80,0.78,-,"2,081",6.74,8,1,1,41%,54%,67%,43%,421,27,10,24,0.61,1,1,1.17,0.09,18.21,27.16,-,0.61,2.72,18,38.3km,1.17,56%,11,1.12,63,4,0.83,0,28,Polish Fourth Division (dolnoslaska East),43
- - -,Unh,Janusz Surdykowski,6.07,0.96,-,"1,964",7.02,9,0,0,30%,63%,66%,48%,414,26,12,39,1.15,0,3,1.19,0.09,18.97,28.55,-,2.34,2.47,21,132.5km,0.92,57%,28,3.71,54,4,0.19,0,11,Polish Second Division,35
- - -,,Tomasz Bzdęga,2.83,1.35,-,"1,470",7.07,7,3,3,33%,51%,68%,45%,405,14,15,45,0.92,0,2,0.86,0.06,24.80,36.55,-,2.39,1.90,22,112.9km,2.14,58%,30,4.65,31,2,0.14,0,17,Polish Third Division Group 2,36
- - -,,Wojciech Kędziora,2.56,0.99,-,"2,006",6.58,5,1,1,11%,51%,71%,65%,562,15,3,27,1.44,0,0,0.67,0.09,25.21,35.53,-,1.75,1.03,22,103.2km,2.42,52%,35,3.45,23,7,0.31,0,16,Polska Liga Okręgowa,40
- - -,,Konrad Nowak,6.74,1.29,-,"2,308",6.99,8,0,0,0%,48%,72%,45%,666,26,0,20,1.21,1,0,1.01,0.16,25.97,35.95,-,1.52,2.26,33,175.9km,1.83,57%,48,3.16,58,1,0.04,0,20,Polish Third Division Group 4,36
- - -,,Adrian Bergier,4.66,0.84,0.03,"2,880",7.14,11,0,2,34%,39%,66%,41%,539,36,8,23,0.47,1,4,1.12,0.19,16.84,25.53,-,0.41,2.72,27,59.9km,0.84,84%,15,1.03,87,4,0.44,0,28,Polish Fourth Division (dolnoslaska East),35
- - -,Wnt,Kamil Oziemczuk,2.60,2.46,0.13,695,6.94,1,0,0,35%,46%,66%,50%,148,6,7,20,1.42,0,0,0.78,0.26,19.17,28.88,-,1.55,1.55,19,47.0km,2.59,61%,15,3.37,12,0,-,0,15,Polish Third Division Group 4,33
- - -,,Grzegorz Goncerz,6.87,1.38,0.19,"1,892",6.97,12,1,2,30%,40%,68%,44%,463,24,16,52,1.28,3,4,1.14,0.10,22.02,32.49,-,1.19,2.57,29,147.5km,1.09,59%,39,2.95,54,3,0.15,0,45,Polish Second Division,33
- - -,,Mariusz Cichowlas,0.00,2.06,-,"1,440",7.44,3,0,0,0%,-,60%,38%,193,16,0,0,-,0,0,1.00,0.06,12.06,20.00,-,-,2.62,33,0.0km,-,92%,0,-,42,0,-,0,14,Polish Fourth Division (kujawsko-pomorska),31
- - -,Lst,Valeri Bozhinov,0.31,-,-,12,-,0,0,0,0%,-,80%,0%,4,0,0,0,-,0,0,-,-,-,-,-,-,-,-,0.9km,-,-,1,-,1,0,-,0,1,Bulgarian First League,35
- - -,,Mirko Selak,7.07,1.33,-,"2,436",6.50,6,1,2,31%,31%,72%,46%,644,28,19,61,1.29,4,4,1.03,0.07,23.79,33.10,-,0.89,2.25,36,133.1km,1.11,60%,52,2.88,61,4,0.44,0,47,Croatian Third League South,43
- - -,,Michael Mifsud,0.00,0.55,-,"3,433",5.48,4,0,0,0%,-,56%,38%,438,39,0,0,-,0,0,1.02,0.05,11.48,20.45,-,-,2.73,21,0.0km,-,68%,0,-,104,0,-,0,40,Maltese Premier League,40
- - -,,Siradji Sani,0.00,0.81,-,"3,870",6.53,4,0,1,0%,-,60%,41%,519,53,0,0,-,0,0,1.23,0.14,12.07,20.00,-,-,3.00,35,0.0km,-,63%,0,-,129,0,-,0,24,Slovak Lower Division,41
- - -,,Kyle Lafferty,0.74,0.69,0.17,"3,150",6.59,9,0,0,32%,43%,60%,45%,477,41,11,34,0.49,0,3,1.17,0.14,13.63,22.69,-,0.46,2.60,24,58.1km,0.31,63%,15,1.06,91,1,0.03,0,62,Scottish Premiership,33
- - -,FrA,Ruslan Platon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39
- - -,,Sergiy Tretyak,0.00,0.94,-,"3,727",6.67,17,0,0,0%,-,56%,46%,478,61,0,0,-,0,0,1.47,0.12,11.54,20.77,-,-,3.24,39,0.0km,-,66%,0,-,134,0,-,0,58,Ukrainian Reg Div - Kyivs'ka oblast - D1,36
- - -,,Maxym Feschuk,0.00,0.72,-,"3,243",6.58,9,0,0,0%,-,60%,43%,442,46,0,0,-,0,0,1.28,0.08,12.27,20.54,-,-,2.94,26,0.0km,-,54%,0,-,106,0,-,0,37,Ukrainian Reg Div - Ternopils'ka oblast - D1,35
- - -,,Ruslan Fomin,3.07,2.91,-,556,6.93,7,0,0,0%,67%,72%,60%,176,18,0,9,0.49,0,0,2.91,-,28.49,39.33,-,3.24,4.86,18,42.2km,1.78,67%,11,4.86,30,0,-,0,10,Ukrainian Second League - Group B,35
- - -,,Sergiy Davydov,0.06,18.00,-,10,-,0,0,0,0%,-,80%,100%,4,1,0,0,-,0,0,-,-,-,-,-,-,-,2,0.7km,-,67%,0,-,1,0,-,0,0,Ukrainian Second League - Group B,36
- - -,Inj,Igor Kirienko,0.37,0.85,-,"3,808",7.05,20,0,0,0%,50%,60%,48%,526,63,0,1,0.05,0,0,1.49,0.09,12.43,20.61,-,0.05,3.12,36,6.7km,0.02,53%,1,0.09,132,0,-,0,59,Ukrainian Second League - Group A,35
- - -,,Olexandr Batalskyi,5.30,1.18,0.13,"2,128",6.94,8,0,0,34%,40%,69%,44%,684,15,26,75,1.23,2,6,0.63,0.13,28.93,41.79,-,1.18,1.44,28,141.2km,1.14,70%,42,2.96,34,7,1.06,0,17,Ukrainian First League,34
- - -,Lst,Olexandr Gladkyi,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ukrainian Premier League,33
- - -,,Ruslan Ivashko,0.00,0.95,-,"3,793",7.05,15,1,1,0%,-,59%,53%,506,74,0,0,-,0,0,1.76,0.14,12.01,20.41,-,-,3.30,40,0.0km,-,80%,0,-,139,0,-,0,54,Ukrainian Second League - Group A,34
- - -,,Olexandr Kovpak,0.00,1.12,-,"2,252",6.25,10,1,1,0%,-,56%,51%,292,45,0,0,-,0,0,1.80,0.04,11.67,20.78,-,-,3.56,28,0.0km,-,65%,0,-,89,0,-,0,28,Ukrainian Amateur League - Group 2,38
- - -,Wnt,Denys Vasin,7.09,1.28,0.35,"1,551",6.85,5,0,1,31%,48%,69%,46%,423,19,19,60,1.22,2,2,1.10,0.06,24.55,35.69,-,1.10,2.38,22,122.2km,0.93,55%,47,2.32,41,3,0.20,0,18,Ukrainian Premier League,32
- - -,,Olexandr Akymenko,0.00,0.84,-,"3,870",6.81,13,1,2,0%,-,57%,42%,490,44,0,0,-,0,0,1.02,0.12,11.40,20.00,-,-,2.42,36,0.0km,-,59%,0,-,104,0,-,0,59,Ukrainian Reg Div - Luhans'ka oblast - D1,35
- - -,Ama,Dmitriy Gavrilovich,0.00,0.57,-,630,6.43,2,0,0,0%,-,52%,52%,73,14,0,0,-,0,0,2.00,0.14,10.43,20.00,-,-,3.86,4,0.0km,-,80%,0,-,27,0,-,0,7,Belarusian Lower League,43
- - -,,Grega Triplat,10.18,0.41,0.73,"2,820",6.94,12,2,3,0%,48%,68%,54%,667,32,0,31,1.66,6,14,1.02,-,21.29,31.24,-,1.79,1.88,13,202.2km,1.02,59%,48,3.70,59,4,0.18,0,0,Slovenian Third League East,34
- - -,,Marek Mucha,0.00,0.77,-,"3,645",5.58,4,0,0,0%,50%,53%,28%,432,30,0,0,0.02,0,0,0.74,0.05,10.67,20.05,-,0.02,2.69,31,2.7km,-,61%,1,0.05,109,0,-,0,82,Czech Third Division CFL B,41
- - -,Ama,David Rojka,0.00,0.68,-,"3,690",6.33,10,0,0,0%,-,58%,39%,475,43,0,0,-,0,0,1.05,0.07,11.59,20.00,-,-,2.66,28,0.0km,-,47%,0,-,109,0,-,0,43,Czech Lower Division,39
- - -,Ama,Daniel Kosturik,0.00,0.98,-,"3,690",6.39,11,0,0,0%,-,58%,46%,478,45,0,0,-,0,0,1.10,0.10,11.66,20.00,-,-,2.39,40,0.0km,-,69%,0,-,98,0,-,0,28,Czech Lower Division,39
- - -,,Jan Svatek,0.00,0.63,-,"3,690",6.18,11,0,0,0%,-,56%,49%,458,61,0,0,-,0,0,1.49,0.12,11.17,20.00,-,-,3.02,26,0.0km,-,65%,0,-,124,0,-,0,37,Czech Lower Division,37
- - -,,Jan Ficek,0.00,0.58,-,"3,548",5.97,7,0,0,0%,-,57%,42%,469,39,0,0,-,0,0,0.99,0.08,11.90,20.80,-,-,2.33,23,0.0km,-,58%,0,-,92,0,-,0,54,Czech Fourth Division B,42
- - -,,Pavel Simr,0.14,0.68,-,"3,720",5.91,12,0,0,0%,60%,54%,42%,457,48,0,2,0.02,0,1,1.16,0.02,11.06,20.35,-,0.22,2.76,28,9.0km,0.05,76%,5,0.36,114,0,-,0,69,Czech Third Division MSFL,37
- - -,,Josef Brodsky,0.00,0.65,-,"3,579",5.59,3,0,0,33%,25%,54%,40%,445,47,1,3,0.03,0,0,1.18,0.05,11.19,20.57,-,0.03,2.94,26,10.6km,0.08,62%,0,0.10,117,0,-,0,68,Czech Third Division CFL B,36
- - -,Ama,Michal Blazej,0.00,0.68,-,"3,690",6.00,10,0,0,0%,-,56%,40%,457,45,0,0,-,0,0,1.10,0.02,11.15,20.00,-,-,2.76,28,0.0km,-,56%,0,-,113,0,-,0,35,Czech Lower Division,37
- - -,,Ondrej Kail,0.00,1.81,-,"3,573",6.95,11,0,0,0%,-,59%,34%,487,36,0,0,-,0,0,0.91,0.15,12.27,20.65,-,-,2.67,72,0.0km,-,95%,0,-,106,0,-,0,47,Czech Fourth Division C,33
- - -,,Lukas Magera,1.66,1.06,-,"3,657",6.57,16,2,2,42%,73%,60%,54%,533,65,3,7,0.17,0,0,1.60,0.25,13.12,21.78,-,0.27,2.98,43,15.5km,0.17,63%,5,0.37,121,2,0.23,0,58,Czech Third Division CFL B,38
- - -,,Adam Varadi,0.00,0.84,-,"3,550",6.22,5,0,0,0%,0%,56%,38%,455,38,0,0,-,0,0,0.96,0.05,11.54,20.61,-,0.00,2.51,33,2.6km,0.03,59%,2,0.03,99,1,0.13,0,59,Czech Third Division MSFL,36
- - -,Ama,Vitezslav Brozik,0.00,0.95,-,"3,690",6.75,7,1,2,0%,-,58%,39%,478,48,0,0,-,0,0,1.17,0.20,11.66,20.00,-,-,3.02,39,0.0km,-,59%,0,-,124,0,-,0,35,Czech Lower Division,35
- - -,,Tomas Mrazek,0.00,0.88,-,"3,690",7.20,17,0,0,0%,-,57%,47%,465,57,0,0,-,0,0,1.39,0.15,11.34,20.00,-,-,2.98,36,0.0km,-,53%,0,-,122,0,-,0,59,Czech Lower Division,35
- - -,Wnt,Pavel Cerny,2.04,0.97,-,558,6.80,4,2,2,26%,37%,81%,40%,194,6,4,15,0.81,0,0,0.97,-,31.29,38.71,-,1.13,2.42,6,37.3km,1.29,60%,13,3.06,15,1,0.16,0,7,Czech First Division,36
- - -,Ama,Jan Zurek,0.00,0.59,-,"3,690",6.44,9,0,0,0%,-,57%,40%,464,52,0,0,-,0,0,1.27,0.05,11.32,20.00,-,-,3.15,24,0.0km,-,67%,0,-,129,0,-,0,61,Czech Lower Division,38
- - -,,Martin Jirous,0.00,0.93,-,"3,690",7.05,19,0,0,0%,-,59%,56%,487,74,0,0,-,0,0,1.80,0.17,11.88,20.00,-,-,3.20,38,0.0km,-,72%,0,-,131,0,-,0,49,Czech Lower Division,34
- - -,Inj,Vladimir Misinsky,0.00,0.96,-,"3,475",6.48,9,2,2,33%,0%,60%,54%,483,58,1,3,-,0,0,1.50,0.21,12.51,20.93,-,0.00,2.77,37,3.6km,0.08,62%,1,0.03,107,0,-,0,50,Czech Third Division MSFL,34
- - -,,Vaclav Stipek,0.00,0.85,-,"3,690",6.52,10,0,0,0%,-,58%,36%,477,51,0,0,-,0,0,1.24,0.15,11.63,20.00,-,-,3.44,35,0.0km,-,81%,0,-,141,0,-,0,56,Czech Fourth Division B,36
- - -,,Martin Licka,4.30,0.70,0.03,"2,588",6.56,8,0,0,18%,49%,61%,47%,415,30,4,22,0.90,2,9,1.04,0.03,14.43,23.58,-,1.25,2.23,20,93.5km,1.29,54%,17,2.57,64,3,0.14,0,31,Czech Third Division MSFL,34
- - -,,Jakub Balsanek,0.06,0.67,-,"3,512",5.51,8,0,0,0%,33%,56%,38%,446,29,0,0,0.03,0,0,0.74,0.05,11.43,20.58,-,0.03,1.97,26,5.8km,0.03,57%,3,0.08,77,0,-,0,47,Czech Third Division CFL A,36
- - -,Ama,Tomas Pospisil,0.00,1.07,-,"3,614",7.40,17,0,0,0%,-,58%,55%,475,56,0,0,-,0,0,1.39,0.07,11.83,20.42,-,-,2.52,43,0.0km,-,57%,0,-,101,0,-,0,51,Czech Lower Division,31
- - -,,Mansour,0.16,1.15,0.29,312,7.08,1,0,0,30%,55%,72%,43%,109,3,3,10,1.73,1,0,0.87,0.29,31.44,43.56,-,1.73,2.02,4,17.2km,2.31,50%,7,3.17,7,0,-,0,1,Romanian Third League Group 10,35
- - -,Lst,Goran Karanović,0.58,10.00,-,9,-,0,0,0,0%,-,50%,100%,1,1,0,0,-,0,0,-,-,-,-,-,-,-,1,0.7km,-,33%,0,-,1,0,-,0,0,Romanian First League,33
- - -,,Milan Đorđević,0.00,1.02,-,"3,089",6.66,9,0,0,0%,-,61%,41%,429,38,0,0,-,0,0,1.11,0.15,12.50,20.39,-,-,2.68,35,0.0km,-,76%,0,-,92,0,-,0,37,Albanian First Category - Group A,35
- - -,,Miša Petković,0.00,0.92,-,"3,510",6.34,7,0,1,0%,-,57%,44%,447,45,0,0,-,0,0,1.15,0.08,11.46,20.00,-,-,2.62,36,0.0km,-,62%,0,-,102,0,-,0,12,Serbian Zone League,37
- - -,,Vladan Karović,6.63,2.36,-,"1,675",6.89,4,1,3,22%,43%,82%,23%,897,12,10,45,1.02,1,0,0.64,0.27,48.20,58.94,-,2.31,2.85,44,111.7km,2.26,68%,26,5.37,53,6,0.40,0,31,Serbian Second League East,38
- - -,,Marko Jakšić,0.00,0.92,-,"3,510",6.27,5,0,0,0%,-,56%,33%,439,36,0,0,-,0,0,0.92,0.18,11.26,20.00,-,-,2.77,36,0.0km,-,59%,0,-,108,0,-,0,50,Serbian Zone League,37
- - -,,Marko Đorović,0.00,0.77,-,"3,510",6.42,13,0,0,0%,-,59%,47%,461,56,0,0,-,0,0,1.44,0.15,11.82,20.00,-,-,3.03,30,0.0km,-,61%,0,-,118,0,-,0,33,Serbian Second League Vojvodina,38
- - -,,Novica Lazarević,0.00,0.67,-,"3,870",6.48,14,0,0,0%,-,58%,43%,498,50,0,0,-,0,0,1.16,0.09,11.58,20.00,-,-,2.67,29,0.0km,-,66%,0,-,115,0,-,0,47,Serbian Second League East,43
- - -,,Dušan Stanković,0.07,0.84,-,"3,870",6.28,12,0,0,0%,70%,59%,41%,512,50,0,2,0.02,2,0,1.16,0.09,11.91,20.28,-,0.16,2.86,36,10.7km,0.05,67%,0,0.23,123,0,-,0,57,Serbian Second League East,42
- - -,,Nenad Mitrović,0.00,0.79,-,"3,510",6.39,9,0,0,0%,-,57%,35%,445,38,0,0,-,0,0,0.97,0.15,11.41,20.00,-,-,2.77,31,0.0km,-,67%,0,-,108,0,-,0,59,Serbian Zone League,40
- - -,Ama,Saša Bogunović,0.00,0.72,-,"3,510",6.41,14,0,0,0%,-,59%,45%,459,46,0,0,-,0,0,1.18,0.18,11.77,20.00,-,-,2.62,28,0.0km,-,70%,0,-,102,0,-,0,39,Serbian Lower League,38
- - -,,Aleksandar Đukić,0.00,0.92,-,"3,510",6.47,5,0,0,0%,-,57%,46%,446,51,0,0,-,0,0,1.31,0.10,11.44,20.00,-,-,2.85,36,0.0km,-,75%,0,-,111,0,-,0,57,Serbian Zone League,40
- - -,,Saša Stojanović,8.86,1.58,0.14,"2,560",7.04,10,0,0,34%,57%,71%,51%,775,39,33,96,1.72,3,1,1.37,0.14,27.25,38.36,-,1.48,2.67,45,165.9km,1.09,63%,41,2.60,76,9,1.15,0,23,Serbian Second League East,42
