Inf,Name,DrbPG,ShT/90,Shot %,Int/90,Tck R,ShT,Shots,Distance,Av Rat,Division,Fls,Gls,Pens,Tck W,Tck A,Shot/90,Ps C/90,Pas %,Ps A/90,Off,Mstks,Gl Mst,K Tck,K Ps/90,K Hdrs,Itc,Hdr %,Hdrs W/90,Drb,Dist/90,Cr C,Cr C/A,Cr A,Ch C/90,Pens S,Aer A/90,Asts/90,Mins,Birth City,Age
,Rafal Turczyn,1.51,1.22,49%,2.06,62%,46,93,268.8km,6.90,Polish Third Division Group 4,40,9,0,24,39,2.46,17.79,66%,26.97,47,0,0,2,0.58,8,78,44%,1.90,57,0.0km,21,26%,79,2.15,0,4.31,0.11,"3,404",Zamosc,30
,Tomasz Persona,1.22,0.09,29%,1.31,60%,2,7,159.1km,6.84,Polish Third Division Group 4,7,1,1,27,45,0.32,15.23,64%,23.96,12,6,0,1,0.36,6,29,68%,2.08,27,0.0km,31,33%,93,1.33,1,3.07,0.23,"1,991",Ostrowiec Swietokrzyski,32
,Arkadiusz Wozniak,0.44,0.48,35%,2.05,69%,13,37,228.5km,6.62,Polish Second Division,30,3,0,60,87,1.35,15.16,64%,23.69,13,4,0,3,0.26,5,56,76%,3.73,12,0.0km,14,25%,54,0.99,0,4.91,0.07,"2,458",Lubin,29
,Michal Stec,1.28,0.08,9%,1.20,79%,1,11,87.5km,6.66,Polish Third Division Group 1,27,0,0,30,38,0.88,22.46,69%,32.45,6,7,0,2,0.40,3,15,70%,2.56,16,0.0km,10,25%,40,1.49,0,3.68,-,"1,126",Wysokie Mazowieckie,28
,Rafal Lesniewski,1.74,0.81,38%,2.66,50%,28,73,200.1km,6.83,Polish Third Division Group 2,7,13,0,15,30,2.11,17.27,67%,25.65,58,3,0,0,0.32,9,92,43%,2.28,60,0.0km,33,35%,94,2.08,0,5.35,0.06,"3,112",Wagrowiec,35
,Olexandr Mashnin,1.09,0.27,25%,1.64,75%,1,4,34.8km,6.50,Polish Third Division Group 2,6,0,0,9,12,1.09,28.91,76%,37.91,0,6,0,0,-,0,6,71%,2.73,4,0.0km,4,50%,8,0.55,0,3.82,-,330,Mykolaiv,30
,Vitaliy Dakhnovskyi,1.79,0.30,26%,1.53,68%,10,39,186.0km,6.79,Polish Third Division Group 4,50,2,0,19,28,1.17,14.30,65%,22.01,58,3,0,0,0.30,4,51,61%,2.39,60,0.0km,57,37%,151,1.53,0,3.95,0.18,"3,009",-,21
,Kamil Nitkiewicz,1.73,0.34,34%,2.07,73%,10,29,188.7km,6.98,Polish Third Division Group 3,15,5,0,38,52,0.98,19.43,68%,28.49,39,4,0,8,0.58,6,61,68%,3.12,51,0.0km,31,33%,93,1.46,0,4.58,0.10,"2,650",Milicz,33
,Filip Jagielski,1.52,0.39,36%,1.00,60%,15,42,243.0km,6.91,Polish Third Division Group 2,18,5,0,36,60,1.10,14.74,63%,23.33,19,5,0,5,0.53,4,38,67%,1.97,58,0.0km,48,31%,153,3.73,0,2.94,0.13,"3,426",Inowroclaw,28
,Jacek Kopaniarz,-,1.55,52%,-,68%,65,126,0.0km,7.48,Polish Fourth Division,49,9,0,45,66,3.00,11.74,59%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.17,"3,780",Poznan,30
,Adrian Blad,1.71,0.21,32%,0.88,57%,8,25,279.1km,6.88,Polish Second Division,13,3,0,54,95,0.65,14.60,61%,23.91,26,6,0,7,0.23,4,34,57%,1.40,66,0.0km,48,30%,157,1.55,0,2.43,0.18,"3,482",Lubin,29
,Patryk Stefanski,2.16,0.70,46%,1.17,47%,24,52,218.6km,6.87,Polish Third Division Group 3,19,8,0,14,30,1.52,15.31,63%,24.29,91,0,0,0,0.35,3,40,65%,1.49,74,0.0km,37,33%,111,1.56,0,2.30,0.12,"3,086",Myslowice,30
,David Kwiek,-,0.53,37%,-,90%,21,57,0.0km,7.29,Polish Fourth Division,43,5,0,55,61,1.43,14.32,72%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.23,"3,600",Freiburg,32
,Piotr Ceglarz,1.67,0.39,38%,1.31,54%,15,40,254.5km,7.04,Polish Third Division Group 4,6,9,0,29,54,1.03,16.73,66%,25.48,38,0,0,5,0.62,7,51,65%,1.88,65,0.0km,41,33%,124,2.40,0,2.88,0.41,"3,497",Bielsko-Biala,27
,Mateusz Glinski,-,1.48,49%,-,95%,59,120,0.0km,7.52,Polish Fourth Division,20,20,0,37,39,3.00,12.05,60%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.15,"3,600",Warsaw,28
,Piotr Darmochwal,1.39,0.50,29%,0.88,72%,4,14,42.0km,6.81,Polish Third Division Group 4,6,0,0,13,18,1.76,19.41,70%,27.86,11,1,0,1,0.25,0,7,70%,2.65,11,0.0km,4,22%,18,0.50,0,3.78,-,714,Tomaszow Lubelski,28
,Cezary Demianiuk,2.64,0.71,37%,0.73,56%,26,70,236.0km,6.89,Polish Second Division,14,8,0,25,45,1.90,13.81,59%,23.55,70,0,0,0,0.27,4,27,65%,1.93,97,0.0km,35,28%,121,1.81,0,2.99,0.08,"3,310",Siedlce,27
Inj,Pawel Moskwik,1.55,0.33,31%,0.99,76%,11,36,228.1km,6.82,Polish Second Division,55,6,0,65,86,1.07,21.08,70%,30.04,47,8,0,3,0.21,4,33,66%,2.27,52,0.0km,32,34%,92,1.40,0,3.43,0.03,"3,014",Oswiecim,27
,Karol Mackiewicz,3.02,0.58,29%,1.29,70%,12,41,130.7km,7.00,Polish Third Division Group 1,3,3,0,16,23,1.96,21.52,65%,33.07,37,0,0,0,0.77,4,27,61%,2.11,63,0.0km,25,33%,75,1.25,0,3.45,0.29,"1,878",Bialystok,27
,Mateusz Janiec,-,1.53,53%,-,84%,58,110,0.0km,7.63,Polish Fourth Division,31,16,0,49,58,2.89,12.00,60%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.11,"3,420",Busko-Zdroj,28
,Lukasz Kacprzycki,2.37,0.66,36%,1.32,64%,5,14,47.2km,6.72,Polish Third Division Group 4,12,2,0,9,14,1.84,21.71,66%,33.03,17,0,0,0,0.53,0,10,33%,0.79,18,0.0km,4,16%,24,3.90,0,2.37,0.13,684,Kolobrzeg,26
Wnt,Tomasz Zajac,2.17,0.79,41%,1.06,55%,17,41,125.5km,6.88,Polish Third Division Group 4,9,8,0,16,29,1.90,18.67,68%,27.50,59,0,0,0,0.37,1,23,43%,0.92,47,0.0km,24,38%,62,2.54,0,2.13,0.14,"1,947",Vienna,24
,Fabian Hiszpanski,2.94,0.83,41%,0.73,70%,24,58,177.2km,6.97,Polish Third Division Group 2,31,7,0,53,76,2.00,20.11,64%,31.40,52,1,0,0,0.35,2,21,63%,1.73,85,0.0km,33,35%,92,3.44,0,2.76,0.14,"2,605",Plock,26
,Maciej Kot,0.05,1.07,44%,0.07,85%,43,97,12.6km,7.41,Polish Fourth Division,58,4,0,44,52,2.41,15.34,73%,21.11,0,0,0,0,-,0,3,67%,0.05,2,0.0km,0,0%,7,-,0,0.07,0.10,"3,619",Bydgoszcz,29
,Damian Nogaj,1.91,0.72,38%,1.19,-,3,8,30.0km,6.66,Polish Second Division,2,1,0,-,0,1.91,16.23,65%,25.07,9,0,0,0,0.95,2,5,59%,2.39,8,0.0km,4,33%,12,1.00,0,4.06,-,377,Ostrowiec Swietokrzyski,30
,Daniel Galach,-,1.32,49%,-,62%,53,108,0.0km,7.42,Polish Fourth Division,48,14,0,41,66,2.69,11.73,57%,20.46,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.22,"3,607",Zary,27
,Mateusz Szmydt,1.83,0.29,32%,0.91,55%,11,34,244.0km,6.98,Polish Third Division Group 1,59,2,0,47,85,0.89,15.30,63%,24.46,28,5,0,5,0.70,9,35,64%,2.22,70,0.0km,42,32%,128,3.43,0,3.45,0.31,"3,447",Elblag,28
,Pawel Czychowski,1.14,0.09,27%,1.04,49%,3,11,209.6km,6.76,Polish Fourth Division,39,0,0,25,51,0.35,12.41,57%,21.62,23,1,0,1,0.28,5,33,63%,1.74,36,0.0km,30,32%,92,2.35,0,2.75,0.19,"2,843",Gdansk,26
Wnt,Miroslaw Kalista,-,1.19,51%,-,82%,48,94,0.0km,7.15,Polish Fourth Division,50,13,0,36,44,2.34,12.13,60%,20.38,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.12,"3,622",Starachowice,28
,Damian Lenkiewicz,2.69,0.71,43%,0.99,60%,25,58,263.9km,6.92,Polish Second Division,17,6,0,12,20,1.64,15.73,64%,24.77,94,1,0,0,0.48,9,35,63%,2.18,95,0.0km,52,33%,156,2.72,0,3.49,-,"3,176",Bialogard,27
,Piotr Kornacki,-,0.50,36%,-,94%,20,55,0.0km,7.25,Polish Fourth Division,43,4,0,67,71,1.37,14.73,72%,20.48,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.05,"3,604",Kozienice,30
,Mateusz Janeczko,2.87,0.43,28%,1.81,75%,11,40,213.2km,6.89,Polish Third Division Group 4,24,3,0,24,32,1.57,25.93,72%,36.09,35,8,0,0,0.55,8,46,61%,2.01,73,0.0km,33,24%,134,1.97,0,3.31,0.08,"2,287",Pszczyna,25
,Pawel Drazba,-,1.25,45%,-,79%,45,99,0.0km,7.44,Polish Fourth Division,39,13,0,49,62,2.75,12.49,61%,20.54,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.14,"3,242",Goldap,25
,Kacper Lazaj,0.91,2.73,43%,1.82,67%,3,7,7.1km,6.75,Polish Third Division Group 2,3,0,0,4,6,6.36,19.09,68%,28.18,5,0,0,0,-,0,2,25%,0.91,1,0.0km,0,0%,2,1.82,0,3.64,-,99,Slupsk,24
,Patryk Szymanski,1.89,0.33,31%,2.15,61%,13,42,272.7km,6.80,Polish Third Division Group 1,27,3,0,35,57,1.07,14.69,62%,23.53,39,1,0,4,0.43,3,84,69%,2.17,74,0.0km,44,32%,134,2.22,0,3.17,0.15,"3,523",Lomza,27
,Dariusz Bragiel,2.79,0.50,35%,0.96,50%,19,54,266.1km,6.88,Polish Third Division Group 4,25,6,0,6,12,1.41,15.06,64%,23.58,90,1,0,0,0.36,0,37,38%,0.23,107,0.0km,39,30%,127,1.69,0,0.63,0.13,"3,454",Jaslo,26
,Tomasz Azikiewicz,-,0.54,43%,-,78%,22,51,0.0km,7.40,Polish Fourth Division,52,4,0,47,60,1.24,13.76,69%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.20,"3,690",Legnica,28
